t,F
1.880000000000000000e+03,5.331451849787052311e+01
1.880083333000000039e+03,5.332337240806151613e+01
1.880166666999999961e+03,5.333112085041147310e+01
1.880250000000000000e+03,5.333733372024623520e+01
1.880333333000000039e+03,5.334200107379091804e+01
1.880416666999999961e+03,5.334511335852873515e+01
1.880500000000000000e+03,5.334666146564830314e+01
1.880583333000000039e+03,5.334663634732743276e+01
1.880666666999999961e+03,4.846883756329090431e+01
1.880750000000000000e+03,4.845622437144103856e+01
1.880833333000000039e+03,4.844360594725804958e+01
1.880916666999999961e+03,4.843098060704449637e+01
1.881000000000000000e+03,4.841835187458868006e+01
1.881083333000000039e+03,4.840571806660115328e+01
1.881166666999999961e+03,4.839307749802418357e+01
1.881250000000000000e+03,4.838043369520621440e+01
1.881333333000000039e+03,4.836778497347338401e+01
1.881416666999999961e+03,4.835512964646989076e+01
1.881500000000000000e+03,4.834247124296936704e+01
1.881583333000000039e+03,4.832980807697561687e+01
1.881666666999999961e+03,4.885499636444681926e+01
1.881750000000000000e+03,4.885317765651369371e+01
1.881833333000000039e+03,4.885135681176893740e+01
1.881916666999999961e+03,4.884953211302594411e+01
1.882000000000000000e+03,4.884770699408284855e+01
1.882083333000000039e+03,4.884587973785614423e+01
1.882166666999999961e+03,4.884404862685688897e+01
1.882250000000000000e+03,4.884221709549461821e+01
1.882333333000000039e+03,4.884038342638341845e+01
1.882416666999999961e+03,4.883854590173269372e+01
1.882500000000000000e+03,4.883670795656230013e+01
1.882583333000000039e+03,4.883486787318437194e+01
1.882666666999999961e+03,3.852648346151752889e+01
1.882750000000000000e+03,3.852169094947412731e+01
1.882833333000000039e+03,3.851689518231279408e+01
1.882916666999999961e+03,3.851209516164698954e+01
1.883000000000000000e+03,3.850729284230759220e+01
1.883083333000000039e+03,3.850248722632186116e+01
1.883166666999999961e+03,3.849767731390888770e+01
1.883250000000000000e+03,3.849286506254401274e+01
1.883333333000000039e+03,3.848804947286838996e+01
1.883416666999999961e+03,3.848322954368300230e+01
1.883500000000000000e+03,3.847840723515583505e+01
1.883583333000000039e+03,3.847358154651829665e+01
1.883666666999999961e+03,3.950703939924360952e+01
