year,F
1.880000000000000000e+03,-4.367105458740727641e+00
1.880083333333333258e+03,-2.524310346500319469e+01
1.880166666666666515e+03,-5.069702398012698552e+01
1.880249999999999773e+03,-2.908943385822163918e+01
1.880333333333333030e+03,2.012497277506781757e+00
1.880416666666666288e+03,4.391727656975525917e+00
1.880499999999999545e+03,-1.562007574841666546e+01
1.880583333333332803e+03,-3.475819754219661917e+01
1.880666666666666060e+03,-1.907513227898044050e+01
1.880749999999999318e+03,-3.015524544147787367e+00
1.880833333333332575e+03,-3.563004141014577897e+01
1.880916666666665833e+03,-5.356731406238795756e+01
1.880999999999999091e+03,-2.403030403834828377e+01
1.881083333333332348e+03,-4.434513156818766788e-01
1.881166666666665606e+03,-5.699117904347552610e+00
1.881249999999998863e+03,-1.787926483530085520e+01
1.881333333333332121e+03,-2.335574802420499552e+01
1.881416666666665378e+03,-9.672655007545884587e+00
1.881499999999998636e+03,-2.176489424688654140e+00
1.881583333333331893e+03,-3.565092487115430941e+01
1.881666666666665151e+03,-4.861276636414835650e+01
1.881749999999998408e+03,-1.733649523752361787e+01
1.881833333333331666e+03,-1.597417668019573966e+00
1.881916666666664923e+03,-1.214238884325199308e+01
1.881999999999998181e+03,-1.908417819640848023e+01
1.882083333333331439e+03,-1.554311599884695383e+01
1.882166666666664696e+03,-3.194900107586498450e+00
1.882249999999997954e+03,-6.675527981365947383e+00
1.882333333333331211e+03,-4.314089765786934549e+01
1.882416666666664469e+03,-5.006247762601989848e+01
1.882499999999997726e+03,-2.144638541026113643e+01
1.882583333333330984e+03,-1.618150816089147170e+01
1.882666666666664241e+03,-2.632628070556604882e+01
1.882749999999997499e+03,-2.342577821970805729e+01
1.882833333333330756e+03,-1.277250433078022596e+01
1.882916666666664014e+03,2.474841309719977289e-02
1.882999999999997272e+03,-1.414150704048271479e+00
1.883083333333330529e+03,-3.386175463406465269e+01
1.883166666666663787e+03,-4.107582977397623125e+01
1.883249999999997044e+03,-1.474354619452356374e+01
1.883333333333330302e+03,-1.379428040724238080e+01
1.883416666666663559e+03,-2.542890701188259683e+01
1.883499999999996817e+03,-2.104586900093491053e+01
1.883583333333330074e+03,-9.270333443948679530e+00
1.883666666666663332e+03,1.222671883507988611e+00
1.883749999999996589e+03,-2.861165551252419448e+00
1.883833333333329847e+03,-3.089053297603867776e+01
1.883916666666663104e+03,-3.787840751744796108e+01
1.883999999999996362e+03,-2.044733782670868294e+01
1.884083333333329620e+03,-2.660955158868505421e+01
1.884166666666662877e+03,-3.681044929639220697e+01
1.884249999999996135e+03,-2.757669761558111787e+01
1.884333333333329392e+03,-1.249291030579574269e+01
1.884416666666662650e+03,1.180378958103450060e+00
1.884499999999995907e+03,-9.750998890752953230e-01
1.884583333333329165e+03,-2.783199504681580549e+01
1.884666666666662422e+03,-3.217132571321421608e+01
1.884749999999995680e+03,-1.419987609202097900e+01
1.884833333333328937e+03,-2.485252928889768498e+01
1.884916666666662195e+03,-3.783490965137562512e+01
1.884999999999995453e+03,-2.964368415658738698e+01
1.885083333333328710e+03,-1.464997523628735898e+01
1.885166666666661968e+03,-2.556602349578405153e-01
1.885249999999995225e+03,-7.395558176315653043e-01
1.885333333333328483e+03,-2.197844838568232717e+01
1.885416666666661740e+03,-2.602864651992204514e+01
1.885499999999994998e+03,-1.117284627619857496e+01
1.885583333333328255e+03,-2.396558682772244353e+01
1.885666666666661513e+03,-3.921523148010362547e+01
1.885749999999994770e+03,-2.949989325282473374e+01
1.885833333333328028e+03,-1.274546944998460951e+01
1.885916666666661285e+03,-8.621905495785888718e-01
1.885999999999994543e+03,-5.795389348007173425e+00
1.886083333333327801e+03,-2.333272368450110434e+01
1.886166666666661058e+03,-1.855219418889999261e+01
1.886249999999994316e+03,-5.096940084593953202e+00
1.886333333333327573e+03,-2.835923245829989980e+01
1.886416666666660831e+03,-4.831483975660719210e+01
1.886499999999994088e+03,-3.661366459914503935e+01
1.886583333333327346e+03,-1.874052181163836650e+01
1.886666666666660603e+03,-8.356860661683276348e+00
1.886749999999993861e+03,-1.482737258764726818e+01
1.886833333333327118e+03,-2.564288766961234600e+01
1.886916666666660376e+03,-1.276513413970715582e+01
1.886999999999993634e+03,3.815947454007531547e+00
1.887083333333326891e+03,-2.125238335125726508e+01
1.887166666666660149e+03,-4.541791607579747136e+01
1.887249999999993406e+03,-2.956877285484422657e+01
1.887333333333326664e+03,-9.231765127622102440e+00
1.887416666666659921e+03,-7.130654405789771388e+00
1.887499999999993179e+03,-1.977018541283847242e+01
1.887583333333326436e+03,-2.321402207253307282e+01
1.887666666666659694e+03,-3.086408033050094701e+00
1.887749999999992951e+03,6.440273824720442519e+00
1.887833333333326209e+03,-2.582929779078305188e+01
1.887916666666659467e+03,-4.889588562346301615e+01
1.887999999999992724e+03,-3.180227495289258499e+01
1.888083333333325982e+03,-1.663795482120285030e+01
1.888166666666659239e+03,-2.224513458237142061e+01
1.888249999999992497e+03,-3.460650287737000497e+01
1.888333333333325754e+03,-2.616643331877804712e+01
1.888416666666659012e+03,3.260118176303812731e+00
1.888499999999992269e+03,9.568560717648288971e+00
1.888583333333325527e+03,-2.756708189282061383e+01
1.888666666666658784e+03,-4.599568758788142731e+01
